"treat"	"nitrogen"	"block"	"height"	"weight"	"leafarea"	"shootarea"	"flowers"	"flowers_sqrt"	"log10_height"
"notip"	"high"	2	9.3	18.75	18.4	181.1	16	4	0.968482948553935
"tip"	"high"	1	10	18.07	16.9	90.5	3	1.73205080756888	1
"tip"	"high"	1	10	13.29	15.8	142.7	12	3.46410161513775	1
"tip"	"high"	1	10.1	15.49	12.6	77.2	12	3.46410161513775	1.00432137378264
"notip"	"high"	1	10.9	17.22	49.2	189.6	17	4.12310562561766	1.03742649794062
"tip"	"high"	2	11.5	23.89	14.3	101.5	12	3.46410161513775	1.06069784035361
"tip"	"high"	1	12.6	18.66	18.6	54	9	3	1.10037054511756
"tip"	"high"	1	14.1	19.12	13.1	113.2	13	3.60555127546399	1.14921911265538
"tip"	"high"	2	17.2	19.2	10.9	89.9	14	3.74165738677394	1.23552844690755
"notip"	"low"	1	1.8	6.01	17.6	46.2	4	2	0.255272505103306
"notip"	"low"	1	2.2	9.97	9.6	63.1	2	1.4142135623731	0.342422680822206
"notip"	"low"	1	2.3	7.28	13.8	32.8	6	2.44948974278318	0.361727836017593
"notip"	"low"	2	2.4	9.1	14.5	78.7	8	2.82842712474619	0.380211241711606
"notip"	"low"	1	3	9.93	12	56.6	6	2.44948974278318	0.477121254719662
"tip"	"low"	2	3.1	8.74	16.1	39.1	3	1.73205080756888	0.491361693834273
"notip"	"low"	2	3.2	7.45	14.1	38.1	4	2	0.505149978319906
"notip"	"low"	2	3.3	8.92	11.6	55.2	6	2.44948974278318	0.518513939877887
"notip"	"low"	1	3.7	7.03	7.9	36.7	5	2.23606797749979	0.568201724066995
"notip"	"low"	2	3.7	8.1	10.5	60.5	6	2.44948974278318	0.568201724066995
"notip"	"low"	1	3.9	7.17	13.5	52.8	6	2.44948974278318	0.591064607026499
"notip"	"low"	2	3.9	9.19	12.4	52.6	9	3	0.591064607026499
"notip"	"low"	2	4.4	10.6	16.2	63.3	6	2.44948974278318	0.643452676486187
"notip"	"low"	1	4.5	8.6	9.4	113.5	7	2.64575131106459	0.653212513775344
"notip"	"low"	1	5.2	5.79	11	67.4	5	2.23606797749979	0.716003343634799
"notip"	"low"	2	5.5	8.44	13.5	77.6	9	3	0.740362689494244
"tip"	"low"	2	5.6	8.1	10.1	5.8	2	1.4142135623731	0.7481880270062
"notip"	"low"	2	5.7	9.05	9.6	63.2	6	2.44948974278318	0.755874855672491
"tip"	"low"	2	5.8	8.04	5.8	30.7	7	2.64575131106459	0.763427993562937
"tip"	"low"	1	6.4	5.97	8.7	7.3	2	1.4142135623731	0.806179973983887
"tip"	"low"	2	7.4	10.89	13.3	9.5	5	2.23606797749979	0.869231719730976
"tip"	"low"	1	7.6	13.05	7.2	47.2	8	2.82842712474619	0.880813592280791
"tip"	"low"	2	7.9	8.89	8.4	34.1	4	2	0.897627091290441
"tip"	"low"	1	8	6.88	9.3	16.1	4	2	0.903089986991944
"tip"	"low"	1	8	10.23	11.9	88.1	4	2	0.903089986991944
"tip"	"low"	2	8.5	7.16	8.7	29.9	4	2	0.929418925714293
"tip"	"low"	2	8.8	9.39	7.1	38.9	4	2	0.944482672150169
"tip"	"low"	1	8.9	11.48	11.1	39.4	7	2.64575131106459	0.949390006644913
"tip"	"low"	1	9.1	8.96	9.7	23.8	3	1.73205080756888	0.959041392321094
"tip"	"low"	1	9.7	6.49	8.1	18	3	1.73205080756888	0.986771734266245
"tip"	"low"	2	11.5	8.72	10.2	28.3	6	2.44948974278318	1.06069784035361
"tip"	"low"	1	12.3	11.27	13.7	28.7	5	2.23606797749979	1.0899051114394
"notip"	"medium"	2	1.8	10.47	11.8	120.8	9	3	0.255272505103306
"notip"	"medium"	2	2.2	10.7	15.3	97.1	7	2.64575131106459	0.342422680822206
"notip"	"medium"	1	2.5	14.85	17.5	77.8	10	3.16227766016838	0.397940008672038
"notip"	"medium"	1	3.5	12.93	16.6	109.3	3	1.73205080756888	0.544068044350276
"notip"	"medium"	2	3.9	9.07	9.6	90.4	7	2.64575131106459	0.591064607026499
"notip"	"medium"	2	3.9	12.97	17	97.5	5	2.23606797749979	0.591064607026499
"notip"	"medium"	1	4.1	12.58	13.9	136.6	11	3.3166247903554	0.612783856719735
"tip"	"medium"	2	4.5	12.55	13.4	14.4	6	2.44948974278318	0.653212513775344
"notip"	"medium"	2	4.5	13.68	14.8	125.5	9	3	0.653212513775344
"notip"	"medium"	1	4.9	6.89	8.2	52.9	3	1.73205080756888	0.690196080028514
"notip"	"medium"	1	5.3	9.29	11.5	82.3	6	2.44948974278318	0.724275869600789
"notip"	"medium"	2	5.4	11.36	17.8	104.6	12	3.46410161513775	0.732393759822969
"notip"	"medium"	1	5.6	11.03	18.6	49.9	8	2.82842712474619	0.7481880270062
"notip"	"medium"	2	5.8	10.18	15.7	88.8	6	2.44948974278318	0.763427993562937
"tip"	"medium"	2	6	11.22	13	16.4	3	1.73205080756888	0.778151250383644
"tip"	"medium"	1	6.9	10.11	13.2	43.1	7	2.64575131106459	0.838849090737255
"tip"	"medium"	2	7.1	8.16	29.6	9.7	2	1.4142135623731	0.851258348719075
"tip"	"medium"	1	7.5	7.62	11.7	31.9	1	1	0.8750612633917
"notip"	"medium"	1	7.5	13.6	13.6	122.2	11	3.3166247903554	0.8750612633917
"notip"	"medium"	2	8	11.43	12.6	43.2	14	3.74165738677394	0.903089986991944
"notip"	"medium"	1	8.5	10.04	12.3	113.6	4	2	0.929418925714293
"tip"	"medium"	2	9	10.2	10.8	90.1	6	2.44948974278318	0.954242509439325
"tip"	"medium"	1	9.4	10.28	14	28.5	6	2.44948974278318	0.973127853599699
"tip"	"medium"	1	9.8	10.08	12.2	72.7	9	3	0.991226075692495
"tip"	"medium"	1	10.4	8.78	11.9	20.3	1	1	1.01703333929878
"tip"	"medium"	1	10.4	13.58	14.5	26.9	4	2	1.01703333929878
"tip"	"medium"	2	10.4	10.48	10.5	57.8	5	2.23606797749979	1.01703333929878
"tip"	"medium"	2	10.4	13.18	11.1	56.8	12	3.46410161513775	1.01703333929878
"tip"	"medium"	1	10.7	12.14	14.1	46	10	3.16227766016838	1.02938377768521
"tip"	"medium"	2	11	11.56	12.6	31.3	6	2.44948974278318	1.04139268515823
"tip"	"medium"	1	11.2	12.76	7.1	66.7	10	3.16227766016838	1.04921802267018
"tip"	"medium"	2	12.3	13.48	16.1	36.9	8	2.82842712474619	1.0899051114394
